record_id,date,year_be,month,season,station_id,station_type,tambon,pH,temp_c,EC_uS_cm,DO_mg_L,BOD_mg_L,COD_mg_L,NH3_mg_L,NO3_mg_L,TP_mg_L,TCB_MPN_100mL,FCB_MPN_100mL,WQI_al_score,WQI_al_class
886,2024-05-31,2567,5,ฤดูแล้ง,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,7.25,28.5,432.0,3.33,7.61,34.6,1.514,4.181,2.657,33793,8615,38.9,D (เสื่อมโทรม)
887,2025-01-12,2568,1,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,7.14,23.5,242.0,7.03,0.38,4.0,0.175,1.105,0.193,6132,3608,85.6,A (ดีมาก)
888,2024-11-12,2567,11,ฤดูแล้ง,BNH03,ลำห้วย (Tributary),ท่าแร่,7.46,26.9,363.0,2.55,7.66,40.9,1.519,4.212,2.178,71693,36004,37.7,D (เสื่อมโทรม)
889,2024-05-07,2567,5,ฤดูแล้ง,NHK03,หนองหาร (Lake),ฮางโฮง,7.72,29.8,253.0,6.67,2.46,17.5,0.149,1.063,0.259,6425,2483,83.9,A (ดีมาก)
890,2025-05-10,2568,5,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.51,31.2,278.0,4.47,5.21,32.0,1.207,2.038,1.379,10417,2853,59.3,C (พอใช้)
891,2025-06-11,2568,6,ฤดูฝน,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.44,32.5,263.0,7.33,0.3,4.0,0.01,0.917,0.475,2783,1347,87.1,A (ดีมาก)
892,2025-02-06,2568,2,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,8.09,25.3,271.0,4.34,4.9,28.7,1.111,1.934,1.529,13571,3830,58.8,C (พอใช้)
893,2025-03-09,2568,3,ฤดูแล้ง,NHK05,หนองหาร (Lake),ท่าแร่,7.42,27.4,175.0,7.95,0.52,4.0,0.393,0.684,0.511,2835,671,88.3,A (ดีมาก)
894,2025-07-23,2568,7,ฤดูฝน,NHK10,หนองหาร (Lake),งิ้วด่อน,7.5,30.5,177.0,5.91,1.56,5.0,0.01,0.891,0.24,17126,5551,82.1,A (ดีมาก)
895,2024-10-16,2567,10,ฤดูฝน,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,7.46,27.8,303.0,6.57,3.66,27.7,0.414,2.146,1.088,10254,3079,74.3,B (ดี)
896,2024-01-14,2567,1,ฤดูแล้ง,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.13,24.0,239.0,6.38,1.09,4.0,0.157,0.623,0.384,4722,1052,83.5,A (ดีมาก)
897,2025-12-09,2568,12,ฤดูแล้ง,NHK06,หนองหาร (Lake),บ้านแป้น,7.56,24.0,262.0,8.14,0.6,4.0,0.269,1.51,0.181,2092,1230,88.7,A (ดีมาก)
898,2025-05-02,2568,5,ฤดูแล้ง,NHK08,หนองหาร (Lake),นาตงวัฒนา,7.17,33.1,163.0,6.6,2.6,10.9,0.265,0.822,0.27,5564,2783,83.7,A (ดีมาก)
899,2024-07-01,2567,7,ฤดูฝน,BNH07,ลำห้วย (Tributary),งิ้วด่อน,7.28,31.0,340.0,6.34,4.72,18.3,0.556,2.79,1.72,8432,2526,67.1,B (ดี)
900,2025-01-18,2568,1,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,6.99,24.7,325.0,2.14,7.68,38.8,1.929,4.648,2.206,18625,9361,32.0,D (เสื่อมโทรม)
901,2024-11-30,2567,11,ฤดูแล้ง,BNH05,ลำห้วย (Tributary),ม่วงลาย,7.24,27.6,311.0,5.25,3.41,17.7,0.917,2.093,1.337,7356,1793,64.4,B (ดี)
902,2025-10-07,2568,10,ฤดูฝน,BNH05,ลำห้วย (Tributary),ม่วงลาย,7.41,28.1,382.0,6.21,5.18,30.0,0.784,2.022,1.092,25271,8120,70.9,B (ดี)
903,2024-05-29,2567,5,ฤดูแล้ง,BNH05,ลำห้วย (Tributary),ม่วงลาย,7.66,28.8,283.0,6.06,2.88,4.8,0.601,2.322,1.05,8929,2456,70.5,B (ดี)
904,2025-12-23,2568,12,ฤดูแล้ง,NHK04,หนองหาร (Lake),เชียงเครือ,7.22,23.5,160.0,6.07,2.29,12.7,0.15,0.78,0.653,8278,3638,80.2,A (ดีมาก)
905,2025-07-15,2568,7,ฤดูฝน,NHK05,หนองหาร (Lake),ท่าแร่,7.04,29.0,226.0,7.91,2.52,14.8,0.058,1.76,0.46,15356,3199,86.7,A (ดีมาก)
906,2025-08-14,2568,8,ฤดูฝน,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.07,30.1,272.0,6.24,1.82,4.0,1.012,1.885,1.873,12849,4985,66.3,B (ดี)
907,2025-01-10,2568,1,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,6.81,24.0,255.0,5.5,5.47,24.2,1.018,2.062,1.262,17561,10487,65.5,B (ดี)
908,2025-01-08,2568,1,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,7.45,24.8,296.0,1.63,6.04,22.6,1.842,3.595,2.188,24884,14358,33.8,D (เสื่อมโทรม)
909,2024-12-04,2567,12,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,7.32,26.2,190.0,6.36,2.32,4.0,0.185,0.904,0.165,1452,304,83.4,A (ดีมาก)
910,2024-12-31,2567,12,ฤดูแล้ง,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,7.04,25.0,215.0,4.4,4.09,16.6,0.615,2.314,1.188,8582,4940,62.4,B (ดี)
911,2025-01-08,2568,1,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,7.54,25.2,252.0,5.59,1.72,10.0,0.173,1.198,0.301,2304,791,78.4,B (ดี)
912,2025-11-20,2568,11,ฤดูแล้ง,NHK04,หนองหาร (Lake),เชียงเครือ,7.56,25.3,144.0,6.01,1.99,6.2,0.17,0.879,0.393,3116,1289,80.9,A (ดีมาก)
913,2024-05-24,2567,5,ฤดูแล้ง,BNH02,ลำห้วย (Tributary),เชียงเครือ,6.88,29.7,279.0,5.82,4.59,24.4,0.652,2.183,1.186,5925,2607,68.9,B (ดี)
914,2024-06-02,2567,6,ฤดูฝน,NHK10,หนองหาร (Lake),งิ้วด่อน,7.2,30.0,254.0,7.92,1.16,4.0,0.206,0.766,0.464,18555,5664,89.2,A (ดีมาก)
915,2024-12-26,2567,12,ฤดูแล้ง,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,7.52,25.2,387.0,3.53,6.18,44.2,1.615,3.115,2.187,6626,3529,45.1,C (พอใช้)
916,2025-12-02,2568,12,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,6.62,24.5,417.0,3.03,6.27,26.9,1.599,4.182,2.286,74380,28187,39.0,D (เสื่อมโทรม)
917,2025-04-15,2568,4,ฤดูแล้ง,NHK01,หนองหาร (Lake),เมืองสกลนคร,6.66,28.2,261.0,6.97,2.27,9.1,0.143,0.638,0.725,5133,2157,84.4,A (ดีมาก)
918,2025-08-11,2568,8,ฤดูฝน,NHK03,หนองหาร (Lake),ฮางโฮง,6.79,28.6,240.0,8.13,0.3,4.0,0.01,0.626,0.369,7508,3327,92.1,A (ดีมาก)
919,2024-05-17,2567,5,ฤดูแล้ง,NHK04,หนองหาร (Lake),เชียงเครือ,7.5,28.3,290.0,6.51,2.33,11.0,0.399,1.914,0.365,6892,2763,78.4,B (ดี)
920,2025-08-13,2568,8,ฤดูฝน,NHK10,หนองหาร (Lake),งิ้วด่อน,7.18,31.8,237.0,7.7,0.3,4.0,0.026,0.658,0.434,3308,1869,89.7,A (ดีมาก)
921,2024-12-13,2567,12,ฤดูแล้ง,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.16,25.9,217.0,6.35,1.0,5.5,0.479,1.234,1.034,3865,889,76.2,B (ดี)
922,2025-09-23,2568,9,ฤดูฝน,BNH02,ลำห้วย (Tributary),เชียงเครือ,7.21,29.6,316.0,6.52,3.95,16.6,0.7,2.343,1.918,10895,6080,67.6,B (ดี)
923,2024-12-07,2567,12,ฤดูแล้ง,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.28,23.9,199.0,7.12,2.08,5.0,0.412,0.713,0.278,2854,662,85.5,A (ดีมาก)
924,2025-03-21,2568,3,ฤดูแล้ง,NHK04,หนองหาร (Lake),เชียงเครือ,7.54,27.4,196.0,6.07,2.17,4.0,0.142,0.664,0.772,2287,748,80.1,A (ดีมาก)
925,2025-02-11,2568,2,ฤดูแล้ง,NHK05,หนองหาร (Lake),ท่าแร่,7.29,25.9,278.0,5.9,1.83,6.2,0.475,0.756,0.622,6136,2576,77.9,B (ดี)
926,2024-07-11,2567,7,ฤดูฝน,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,7.11,30.8,395.0,3.8,6.39,30.1,1.304,4.209,2.34,39380,11006,43.7,C (พอใช้)
927,2025-04-05,2568,4,ฤดูแล้ง,BNH05,ลำห้วย (Tributary),ม่วงลาย,7.59,28.9,319.0,5.92,5.32,14.7,0.749,1.926,1.467,14523,8531,68.3,B (ดี)
928,2024-03-24,2567,3,ฤดูแล้ง,NHK03,หนองหาร (Lake),ฮางโฮง,7.49,27.6,270.0,6.55,0.96,4.0,0.707,1.113,0.263,3913,1747,80.0,A (ดีมาก)
929,2025-12-28,2568,12,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,7.76,25.3,230.0,6.84,0.85,4.0,0.456,0.613,0.346,6113,3487,84.0,A (ดีมาก)
930,2025-01-26,2568,1,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,6.77,24.5,191.0,5.98,1.21,8.1,0.128,1.421,0.213,3302,978,80.0,A (ดีมาก)
931,2025-02-17,2568,2,ฤดูแล้ง,BNH02,ลำห้วย (Tributary),เชียงเครือ,7.6,23.7,366.0,6.56,3.11,20.2,0.643,2.279,1.089,9993,3585,72.4,B (ดี)
932,2024-05-24,2567,5,ฤดูแล้ง,NHK06,หนองหาร (Lake),บ้านแป้น,7.52,31.1,248.0,6.25,0.61,4.0,0.153,1.147,0.795,4178,1768,79.1,B (ดี)
933,2025-11-21,2568,11,ฤดูแล้ง,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,7.07,28.4,397.0,4.03,8.39,31.6,1.524,3.131,2.161,39051,12539,48.0,C (พอใช้)
934,2024-05-31,2567,5,ฤดูแล้ง,NHK01,หนองหาร (Lake),เมืองสกลนคร,7.36,27.1,224.0,8.3,1.82,4.0,0.475,1.233,0.161,1421,420,89.2,A (ดีมาก)
935,2024-03-17,2567,3,ฤดูแล้ง,NHK09,หนองหาร (Lake),เหล่าปอแดง,6.77,25.6,233.0,6.11,2.11,10.7,0.234,0.876,0.243,1193,350,81.7,A (ดีมาก)
936,2025-06-25,2568,6,ฤดูฝน,NHK06,หนองหาร (Lake),บ้านแป้น,7.1,30.4,191.0,6.1,1.16,4.0,0.01,1.727,0.199,3497,1686,80.3,A (ดีมาก)
937,2024-11-01,2567,11,ฤดูแล้ง,NHK05,หนองหาร (Lake),ท่าแร่,7.22,28.5,244.0,6.82,2.06,10.6,0.25,0.821,1.094,6781,2474,80.7,A (ดีมาก)
938,2024-05-10,2567,5,ฤดูแล้ง,NHK08,หนองหาร (Lake),นาตงวัฒนา,7.04,29.9,200.0,6.97,2.4,4.0,0.101,1.115,0.467,6193,3571,84.4,A (ดีมาก)
939,2025-10-22,2568,10,ฤดูฝน,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,7.27,27.6,284.0,4.3,4.69,4.2,1.306,3.881,2.911,21872,11736,44.2,C (พอใช้)
940,2025-08-08,2568,8,ฤดูฝน,NHK03,หนองหาร (Lake),ฮางโฮง,7.52,30.7,300.0,8.22,0.88,6.5,0.01,0.885,0.36,4307,1600,91.7,A (ดีมาก)
941,2024-04-01,2567,4,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.16,28.5,292.0,4.88,4.52,18.7,1.111,1.81,1.45,11805,2800,62.1,B (ดี)
942,2024-11-01,2567,11,ฤดูแล้ง,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,7.06,25.2,299.0,4.73,4.08,17.9,0.684,2.651,1.554,18476,10048,60.5,B (ดี)
943,2024-05-01,2567,5,ฤดูแล้ง,NHK09,หนองหาร (Lake),เหล่าปอแดง,6.91,29.5,223.0,6.13,1.93,5.6,0.316,0.644,0.177,3136,1279,82.4,A (ดีมาก)
944,2025-05-10,2568,5,ฤดูแล้ง,BNH05,ลำห้วย (Tributary),ม่วงลาย,6.84,32.2,276.0,4.76,2.25,4.0,0.635,1.973,1.453,15133,7740,63.7,B (ดี)
945,2025-05-31,2568,5,ฤดูแล้ง,BNH07,ลำห้วย (Tributary),งิ้วด่อน,6.91,29.0,371.0,4.82,4.99,15.0,0.665,2.173,1.292,14741,4803,63.9,B (ดี)
946,2025-08-08,2568,8,ฤดูฝน,NHK03,หนองหาร (Lake),ฮางโฮง,7.05,30.5,236.0,7.72,0.3,4.0,0.092,0.894,0.647,8307,3569,87.6,A (ดีมาก)
947,2025-05-17,2568,5,ฤดูแล้ง,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.61,27.8,304.0,6.53,2.13,17.5,0.363,2.146,0.256,6818,3911,78.5,B (ดี)
948,2024-03-05,2567,3,ฤดูแล้ง,NHK08,หนองหาร (Lake),นาตงวัฒนา,7.0,26.1,245.0,6.75,2.95,12.2,0.123,0.618,0.398,3615,925,85.2,A (ดีมาก)
949,2024-10-25,2567,10,ฤดูฝน,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.5,27.3,255.0,7.45,1.85,16.4,0.01,1.017,0.478,4594,1848,87.3,A (ดีมาก)
950,2025-04-11,2568,4,ฤดูแล้ง,BNH04,ลำห้วย (Tributary),นาแก้ว,7.17,26.7,327.0,2.71,8.15,36.0,1.794,3.369,3.462,26568,12266,33.2,D (เสื่อมโทรม)
951,2025-09-17,2568,9,ฤดูฝน,NHK01,หนองหาร (Lake),เมืองสกลนคร,7.18,30.7,296.0,8.01,0.88,9.7,0.142,1.066,0.311,2028,881,89.7,A (ดีมาก)
952,2024-12-20,2567,12,ฤดูแล้ง,NHK06,หนองหาร (Lake),บ้านแป้น,6.96,26.1,192.0,6.3,0.78,4.0,0.219,1.714,0.435,12979,4539,78.9,B (ดี)
953,2024-05-02,2567,5,ฤดูแล้ง,BNH04,ลำห้วย (Tributary),นาแก้ว,7.45,30.4,342.0,2.7,5.99,39.5,1.622,3.112,2.742,186403,96597,38.7,D (เสื่อมโทรม)
954,2024-06-22,2567,6,ฤดูฝน,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,6.26,29.6,385.0,3.46,5.47,16.8,1.398,3.747,2.191,69368,34704,44.0,C (พอใช้)
955,2024-11-14,2567,11,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.59,26.0,246.0,4.72,5.06,16.6,1.179,1.893,1.864,3612,1185,58.6,C (พอใช้)
956,2024-10-08,2567,10,ฤดูฝน,BNH04,ลำห้วย (Tributary),นาแก้ว,7.5,28.2,348.0,3.99,5.84,36.6,1.838,3.182,2.202,60533,33073,45.6,C (พอใช้)
957,2024-09-12,2567,9,ฤดูฝน,NHK06,หนองหาร (Lake),บ้านแป้น,6.67,30.3,245.0,7.31,1.41,4.0,0.01,0.802,0.493,3350,1481,87.3,A (ดีมาก)
958,2024-08-31,2567,8,ฤดูฝน,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,6.97,28.7,343.0,4.06,5.59,14.8,1.473,3.225,2.376,25723,8121,47.0,C (พอใช้)
959,2025-09-13,2568,9,ฤดูฝน,BNH04,ลำห้วย (Tributary),นาแก้ว,7.26,29.3,341.0,4.5,6.35,39.4,1.569,3.44,2.497,87514,18295,47.1,C (พอใช้)
960,2025-09-19,2568,9,ฤดูฝน,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.26,28.2,207.0,5.13,3.19,18.2,1.058,2.233,2.307,7634,3778,57.8,C (พอใช้)
961,2025-09-23,2568,9,ฤดูฝน,NHK04,หนองหาร (Lake),เชียงเครือ,7.22,31.0,188.0,8.73,0.3,4.0,0.38,0.763,0.357,3656,1295,92.3,A (ดีมาก)
962,2025-02-01,2568,2,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,7.23,22.6,461.0,3.85,6.11,21.1,1.606,4.155,2.197,155482,89296,43.1,C (พอใช้)
963,2025-05-06,2568,5,ฤดูแล้ง,BNH03,ลำห้วย (Tributary),ท่าแร่,7.1,30.9,427.0,1.38,7.57,38.5,1.516,3.866,2.707,53989,11629,31.0,D (เสื่อมโทรม)
964,2024-10-02,2567,10,ฤดูฝน,NHK08,หนองหาร (Lake),นาตงวัฒนา,6.97,26.3,296.0,8.96,0.59,4.0,0.01,1.257,0.598,6400,2868,92.6,A (ดีมาก)
965,2025-08-01,2568,8,ฤดูฝน,BNH05,ลำห้วย (Tributary),ม่วงลาย,6.94,32.6,330.0,6.69,4.69,17.8,0.43,2.043,1.17,8859,3967,74.6,B (ดี)
966,2025-10-07,2568,10,ฤดูฝน,NHK07,หนองหาร (Lake),บ้านแป้น,7.77,28.1,216.0,7.79,0.94,10.3,0.01,1.77,0.49,2961,1718,86.2,A (ดีมาก)
967,2025-08-06,2568,8,ฤดูฝน,BNH03,ลำห้วย (Tributary),ท่าแร่,7.55,31.0,397.0,4.89,7.17,26.5,1.308,3.55,2.386,21604,5593,50.5,C (พอใช้)
968,2024-01-21,2567,1,ฤดูแล้ง,NHK10,หนองหาร (Lake),งิ้วด่อน,7.58,25.0,235.0,6.15,1.73,15.9,0.147,1.427,0.195,5776,2307,80.8,A (ดีมาก)
969,2024-12-09,2567,12,ฤดูแล้ง,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,6.89,24.1,297.0,5.03,2.91,19.0,0.618,2.509,1.584,9431,3516,62.6,B (ดี)
970,2024-05-15,2567,5,ฤดูแล้ง,BNH07,ลำห้วย (Tributary),งิ้วด่อน,7.05,29.5,315.0,5.08,2.73,19.9,0.95,2.711,1.059,6269,2384,62.8,B (ดี)
971,2025-08-11,2568,8,ฤดูฝน,BNH04,ลำห้วย (Tributary),นาแก้ว,6.96,31.5,359.0,3.31,7.05,30.8,1.651,4.178,2.235,83719,30903,40.2,C (พอใช้)
972,2024-11-20,2567,11,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,7.18,26.7,381.0,2.38,7.85,36.2,1.61,3.201,2.354,97013,35599,39.0,D (เสื่อมโทรม)
973,2025-12-25,2568,12,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,7.34,26.0,352.0,3.19,4.86,25.4,1.712,3.113,2.278,38459,16480,42.6,C (พอใช้)
974,2024-02-10,2567,2,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.01,23.1,288.0,5.18,3.38,15.2,1.115,3.646,1.649,18099,6823,56.3,C (พอใช้)
975,2025-08-03,2568,8,ฤดูฝน,NHK07,หนองหาร (Lake),บ้านแป้น,7.18,29.3,226.0,8.55,1.35,4.0,0.061,0.601,0.229,2784,1056,94.5,A (ดีมาก)
976,2025-08-16,2568,8,ฤดูฝน,NHK06,หนองหาร (Lake),บ้านแป้น,7.57,30.8,191.0,8.88,1.82,9.9,0.01,0.773,0.215,1041,355,95.7,A (ดีมาก)
977,2024-10-31,2567,10,ฤดูฝน,NHK03,หนองหาร (Lake),ฮางโฮง,7.1,28.2,239.0,7.7,0.3,7.5,0.01,1.042,0.156,2832,606,89.9,A (ดีมาก)
978,2025-11-11,2568,11,ฤดูแล้ง,NHK03,หนองหาร (Lake),ฮางโฮง,7.0,25.8,216.0,6.78,2.71,9.6,0.166,0.932,0.197,6918,3452,85.1,A (ดีมาก)
979,2024-06-04,2567,6,ฤดูฝน,BNH03,ลำห้วย (Tributary),ท่าแร่,6.61,31.7,439.0,4.46,5.68,22.1,1.577,3.328,2.171,59930,31581,48.9,C (พอใช้)
980,2024-05-17,2567,5,ฤดูแล้ง,BNH02,ลำห้วย (Tributary),เชียงเครือ,7.31,28.4,260.0,5.07,4.29,10.8,0.666,2.351,1.358,28264,8187,64.1,B (ดี)
981,2025-03-27,2568,3,ฤดูแล้ง,NHK10,หนองหาร (Lake),งิ้วด่อน,7.5,26.8,211.0,6.53,0.58,4.0,0.651,0.604,0.251,8519,3292,82.0,A (ดีมาก)
982,2025-10-17,2568,10,ฤดูฝน,BNH05,ลำห้วย (Tributary),ม่วงลาย,7.5,26.5,358.0,5.66,2.02,4.0,0.468,2.044,1.071,15762,6967,70.3,B (ดี)
983,2025-02-04,2568,2,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,7.8,24.5,199.0,6.44,0.3,4.0,0.177,0.825,0.232,4085,1466,83.7,A (ดีมาก)
984,2024-10-20,2567,10,ฤดูฝน,NHK05,หนองหาร (Lake),ท่าแร่,6.82,28.6,275.0,6.58,0.67,4.0,0.359,1.255,0.294,5061,1044,81.6,A (ดีมาก)
985,2025-06-02,2568,6,ฤดูฝน,BNH03,ลำห้วย (Tributary),ท่าแร่,6.91,34.7,356.0,3.61,5.38,24.5,1.44,3.465,2.27,52284,29934,44.9,C (พอใช้)
986,2025-07-01,2568,7,ฤดูฝน,NHK07,หนองหาร (Lake),บ้านแป้น,7.26,29.7,234.0,6.87,0.3,4.0,0.01,0.991,0.157,4718,2058,86.4,A (ดีมาก)
987,2025-03-21,2568,3,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.24,25.0,283.0,4.11,4.83,24.2,1.21,1.957,1.488,28626,5920,57.4,C (พอใช้)
988,2025-11-14,2568,11,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,7.23,27.5,435.0,3.5,6.55,25.1,1.582,3.376,2.291,25223,14183,43.8,C (พอใช้)
989,2024-03-29,2567,3,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,7.24,24.7,411.0,3.89,7.85,24.1,1.55,3.234,2.202,118019,66219,46.7,C (พอใช้)
990,2024-06-27,2567,6,ฤดูฝน,BNH04,ลำห้วย (Tributary),นาแก้ว,6.93,30.7,398.0,4.49,5.48,21.2,1.314,4.402,2.533,104935,31828,45.1,C (พอใช้)
991,2025-11-12,2568,11,ฤดูแล้ง,BNH03,ลำห้วย (Tributary),ท่าแร่,6.58,25.0,395.0,3.85,6.73,29.7,1.663,3.188,2.181,49584,23483,46.1,C (พอใช้)
992,2024-07-23,2567,7,ฤดูฝน,BNH03,ลำห้วย (Tributary),ท่าแร่,6.83,30.1,416.0,3.53,5.44,18.6,1.975,3.259,2.178,8191,3268,42.6,C (พอใช้)
993,2024-09-01,2567,9,ฤดูฝน,NHK06,หนองหาร (Lake),บ้านแป้น,7.66,31.5,186.0,7.31,1.5,4.2,0.166,0.845,0.395,5051,1576,86.7,A (ดีมาก)
994,2025-02-15,2568,2,ฤดูแล้ง,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.23,26.1,260.0,6.95,1.12,10.7,0.159,0.616,0.347,5011,2856,86.2,A (ดีมาก)
995,2025-08-05,2568,8,ฤดูฝน,NHK08,หนองหาร (Lake),นาตงวัฒนา,7.09,30.5,208.0,7.82,0.98,9.7,0.137,0.984,0.209,11741,4248,89.6,A (ดีมาก)
996,2024-08-15,2567,8,ฤดูฝน,NHK07,หนองหาร (Lake),บ้านแป้น,7.0,29.8,162.0,7.37,0.3,8.7,0.082,1.167,0.282,6924,3557,87.0,A (ดีมาก)
997,2024-05-19,2567,5,ฤดูแล้ง,BNH05,ลำห้วย (Tributary),ม่วงลาย,7.09,29.2,308.0,3.71,3.68,9.7,1.329,2.563,1.172,7317,1797,54.5,C (พอใช้)
998,2024-12-09,2567,12,ฤดูแล้ง,BNH03,ลำห้วย (Tributary),ท่าแร่,7.08,23.1,383.0,3.73,6.83,32.0,1.649,3.103,2.427,68845,25684,44.7,C (พอใช้)
999,2024-06-14,2567,6,ฤดูฝน,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.23,30.5,249.0,8.73,1.26,7.2,0.01,0.645,0.165,1580,579,95.8,A (ดีมาก)
1000,2024-02-21,2567,2,ฤดูแล้ง,NHK08,หนองหาร (Lake),นาตงวัฒนา,6.92,24.8,239.0,6.5,2.27,12.1,0.253,0.722,0.533,9164,2539,82.4,A (ดีมาก)
1001,2024-10-19,2567,10,ฤดูฝน,NHK10,หนองหาร (Lake),งิ้วด่อน,6.29,27.0,257.0,7.92,1.7,8.8,0.129,0.708,0.671,1741,960,88.7,A (ดีมาก)
1002,2024-12-31,2567,12,ฤดูแล้ง,BNH05,ลำห้วย (Tributary),ม่วงลาย,6.85,26.4,319.0,5.47,4.54,16.7,0.92,2.192,1.076,8642,2677,66.4,B (ดี)
1003,2025-09-26,2568,9,ฤดูฝน,NHK07,หนองหาร (Lake),บ้านแป้น,6.98,28.0,169.0,7.37,2.53,4.4,0.445,0.64,0.587,5530,2578,85.1,A (ดีมาก)
1004,2024-02-22,2567,2,ฤดูแล้ง,NHK06,หนองหาร (Lake),บ้านแป้น,7.32,23.9,324.0,6.51,0.3,4.0,0.137,0.632,0.469,6389,3069,83.7,A (ดีมาก)
1005,2024-07-30,2567,7,ฤดูฝน,BNH07,ลำห้วย (Tributary),งิ้วด่อน,7.97,29.9,285.0,6.25,2.78,14.4,0.401,3.119,1.834,8188,4715,65.9,B (ดี)
1006,2025-06-03,2568,6,ฤดูฝน,NHK10,หนองหาร (Lake),งิ้วด่อน,7.02,30.7,225.0,8.36,0.3,9.4,0.154,1.933,0.235,3416,1095,88.7,A (ดีมาก)
1007,2024-03-10,2567,3,ฤดูแล้ง,BNH04,ลำห้วย (Tributary),นาแก้ว,7.22,25.0,401.0,4.03,7.84,37.9,1.626,3.279,2.571,24338,13097,44.8,C (พอใช้)
1008,2024-03-04,2567,3,ฤดูแล้ง,NHK04,หนองหาร (Lake),เชียงเครือ,7.66,24.5,211.0,6.96,0.3,11.3,0.288,1.183,0.494,3095,1188,82.9,A (ดีมาก)
1009,2024-04-27,2567,4,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,7.32,28.8,211.0,7.48,0.3,4.0,0.101,0.665,0.903,4015,1794,85.9,A (ดีมาก)
1010,2024-01-30,2567,1,ฤดูแล้ง,BNH03,ลำห้วย (Tributary),ท่าแร่,7.27,24.5,438.0,2.48,6.18,37.1,1.52,3.217,2.241,17254,6700,40.4,C (พอใช้)
1011,2025-05-30,2568,5,ฤดูแล้ง,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.24,30.0,253.0,6.75,1.65,16.1,0.316,0.677,0.222,3291,1188,84.8,A (ดีมาก)
1012,2025-07-04,2568,7,ฤดูฝน,NHK07,หนองหาร (Lake),บ้านแป้น,7.5,32.6,248.0,8.56,2.0,8.3,0.051,0.63,0.172,673,151,94.8,A (ดีมาก)
1013,2024-10-13,2567,10,ฤดูฝน,NHK06,หนองหาร (Lake),บ้านแป้น,7.21,26.8,183.0,7.34,1.57,18.3,0.01,0.979,0.263,1749,579,88.0,A (ดีมาก)
1014,2025-05-28,2568,5,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,7.26,29.2,236.0,6.43,0.54,5.3,0.239,0.718,0.371,7099,3596,83.0,A (ดีมาก)
1015,2024-04-13,2567,4,ฤดูแล้ง,BNH05,ลำห้วย (Tributary),ม่วงลาย,6.99,27.3,324.0,4.69,2.7,17.5,0.709,3.423,1.414,23195,13693,58.3,C (พอใช้)
